sugar,treatment,id,experimenter_time,time
0.111,before,1,ECN FEB 16,NA
0.139,before,2,ECN APR 22,NA
0.129,before,3,ECN APR 22,NA
0.132,before,4,ECN APR 25,NA
0.145,before,5,FGB APR 6,NA
0.151,before,6,FGB APR 10,NA
0.157,before,7,FGB APR 12,NA
0.147,before,8,FGB APR 20,NA
0.139,before,9,FGB APR 20,NA
0.135,before,10,FGB APR 20,NA
0.135,before,11,FGB APR 25,NA
0.12,before,12,JBC JAN 17,NA
0.111,before,13,JBC FEB 16,NA
0.11,before,14,JBC APR 17,NA
0.137,before,15,CHB APR 5,NA
0.13,before,16,CHB APR 6,NA
0.149,before,17,CHB APR 17,NA
0.127,before,18,CHB APR 18,NA
0.125,before,19,CHB APR 19,NA
0.127,before,20,CHB APR 19,NA
0.127,before,21,CHB APR 19,NA
0.115,before,22,CHB APR 19,NA
0.14,before,23,CHB APR 21,NA
0.132,before,24,CHB APR 24,NA
0.125,before,25,CHB APR 24,NA
0.12,before,26,ECN FEB 24,NA
0.108,before,27,ECN MAR 16,NA
0.135,before,28,ECN MAR 17,NA
0.117,before,29,ECN MAR 29,NA
0.137,before,30,ECN MAR 27,NA
0.124,before,31,ECN MAR 30,NA
0.123,before,32,FGB APR 5,NA
0.149,before,33,FGB APR 12,NA
0.111,before,34,FGB APR 13,NA
0.149,before,35,FGB APR 14,NA
0.135,before,36,FGB APR 18,NA
0.126,before,37,JBC DEC 22,NA
0.119,before,38,JBC DEC 16,NA
0.124,before,39,JBC JAN 4,NA
0.117,before,40,JBC JAN 10,NA
0.112,before,41,JBC JAN 12,NA
0.125,before,42,JBC JAN 16,NA
0.094,before,43,JBC JAN 23,NA
0.094,before,44,JBC FEB 23,NA
0.141,before,45,JBC MAR 22,NA
0.12,before,46,JBC MAR 28,NA
0.13,before,47,JBC MAR 31,NA
0.124,before,48,JBC APR 6,NA
0.142,before,49,JBC APR 7,NA
0.089,before,50,CHB APR 20,NA
0.108,before,51,CHB APR 20,NA
0.15,before,52,CHB APR 23,NA
0.045,after,1,ECN FEB 16,35
0.075,after,2,ECN APR 22,45
0.056,after,3,ECN APR 22,60
0.067,after,4,ECN APR 25,35
0.06,after,5,FGB APR 6,90
0.071,after,6,FGB APR 10,120
0.047,after,7,FGB APR 12,10
0.063,after,8,FGB APR 20,90
0.077,after,9,FGB APR 20,90
0.045,after,10,FGB APR 20,70
0.071,after,11,FGB APR 25,60
0.047,after,12,JBC JAN 17,75
0.045,after,13,JBC FEB 16,35
0.064,after,14,JBC APR 17,60
0.064,after,15,CHB APR 5,150
0.064,after,16,CHB APR 6,120
0.04,after,17,CHB APR 17,150
0.037,after,18,CHB APR 18,165
0.064,after,19,CHB APR 19,120
0.045,after,20,CHB APR 19,150
0.065,after,21,CHB APR 19,120
0.069,after,22,CHB APR 19,60
0.075,after,23,CHB APR 21,60
0.065,after,24,CHB APR 24,75
0.037,after,25,CHB APR 24,120
0.093,after,26,ECN FEB 24,35
0.063,after,27,ECN MAR 16,35
0.114,after,28,ECN MAR 17,30
0.08,after,29,ECN MAR 29,35
0.082,after,30,ECN MAR 27,30
0.089,after,31,ECN MAR 30,35
0.09,after,32,FGB APR 5,90
0.083,after,33,FGB APR 12,90
0.069,after,34,FGB APR 13,90
0.081,after,35,FGB APR 14,90
0.071,after,36,FGB APR 18,85
0.087,after,37,JBC DEC 22,120
0.101,after,38,JBC DEC 16,30
0.093,after,39,JBC JAN 4,60
0.073,after,40,JBC JAN 10,60
0.072,after,41,JBC JAN 12,60
0.075,after,42,JBC JAN 16,60
0.068,after,43,JBC JAN 23,60
0.046,after,44,JBC FEB 23,180
0.087,after,45,JBC MAR 22,30
0.095,after,46,JBC MAR 28,40
0.088,after,47,JBC MAR 31,60
0.078,after,48,JBC APR 6,45
0.092,after,49,JBC APR 7,50
0.061,after,50,CHB APR 20,120
0.071,after,51,CHB APR 20,90
0.1,after,52,CHB APR 23,90
